76 : B000:[---][---][---][001][002][---][---][---] | L001:[000][---] | L002:[000][---]
77 : B000:[---][---][---][001][002][---][---][---] | L001:[002][000] | L002:[001][000]
78 : B000:[---][---][002][---][001][001][---][---] | L001:[000][000] | L002:[000][---]
79 : B000:[---][---][---][001][002][---][---][---] | L001:[000][---] | L002:[000][---]
80 : B000:[---][---][---][001][002][---][---][---] | L001:[002][000] | L002:[001][000]
81 : B000:[---][---][002][---][001][001][---][---] | L001:[000][000] | L002:[000][---]
82 : B000:[---][---][001][---][002][---][---][---] | L001:[000][---] | L002:[000][---]
83 : B000:[---][---][001][---][002][---][---][---] | L001:[000][002] | L002:[000][001]
84 : B000:[---][---][001][---][002][---][---][---] | L001:[000][---] | L002:[000][---]
85 : B000:[---][---][001][---][002][---][---][---] | L001:[000][002] | L002:[000][001]
86 : B000:[---][---][---][001][002][---][---][---] | L001:[000][---] | L002:[000][---]
87 : B000:[---][---][---][001][002][---][---][---] | L001:[002][000] | L002:[001][000]
88 : B000:[---][---][002][---][001][001][---][---] | L001:[000][000] | L002:[000][---]
89 : B000:[---][---][---][001][002][---][---][---] | L001:[000][---] | L002:[000][---]
90 : B000:[---][---][---][001][002][---][---][---] | L001:[002][000] | L002:[001][000]
91 : B000:[---][---][002][---][001][001][---][---] | L001:[000][000] | L002:[000][---]
92 : B000:[---][---][001][---][---][---][---][---] | L001:[000][002] | L002:[001][---]
93 : B000:[---][---][001][---][---][---][---][---] | L001:[000][002] | L002:[001][---]
94 : B000:[---][---][001][---][002][---][---][---] | L001:[000][---] | L002:[000][---]
95 : B000:[---][---][001][---][002][---][---][---] | L001:[000][002] | L002:[000][001]
96 : B000:[---][---][001][---][002][---][---][---] | L001:[000][---] | L002:[000][---]
97 : B000:[---][---][001][---][002][---][---][---] | L001:[000][002] | L002:[000][001]
98 : B000:[---][---][---][001][002][---][---][---] | L001:[000][---] | L002:[000][---]
99 : B000:[---][---][---][001][002][---][---][---] | L001:[002][000] | L002:[001][000]
100 : B000:[---][---][002][---][001][001][---][---] | L001:[000][000] | L002:[000][---]
101 : B000:[---][---][---][001][002][---][---][---] | L001:[000][---] | L002:[000][---]
102 : B000:[---][---][---][001][002][---][---][---] | L001:[002][000] | L002:[001][000]
103 : B000:[---][---][002][---][001][001][---][---] | L001:[000][000] | L002:[000][---]
104 : B000:[---][---][001][---][002][---][---][---] | L001:[000][---] | L002:[000][---]
105 : B000:[---][---][001][---][002][---][---][---] | L001:[000][002] | L002:[000][001]
106 : B000:[---][---][001][---][002][---][---][---] | L001:[000][---] | L002:[000][---]
107 : B000:[---][---][001][---][002][---][---][---] | L001:[000][002] | L002:[000][001]
108 : B000:[---][---][---][001][002][---][---][---] | L001:[000][---] | L002:[000][---]
109 : B000:[---][---][---][001][002][---][---][---] | L001:[002][000] | L002:[001][000]
110 : B000:[---][---][002][---][001][001][---][---] | L001:[000][000] | L002:[000][---]
111 : B000:[---][---][---][001][002][---][---][---] | L001:[000][---] | L002:[000][---]
112 : B000:[---][---][---][001][002][---][---][---] | L001:[002][000] | L002:[001][000]
113 : B000:[---][---][002][---][001][001][---][---] | L001:[000][000] | L002:[000][---]
114 : B000:[---][---][001][---][---][---][---][---] | L001:[000][002] | L002:[001][---]
115 : B000:[---][---][001][---][---][---][---][---] | L001:[000][002] | L002:[001][---]
116 : B000:[---][---][001][---][002][---][---][---] | L001:[000][---] | L002:[000][---]
117 : B000:[---][---][001][---][002][---][---][---] | L001:[000][002] | L002:[000][001]
118 : B000:[---][---][001][---][002][---][---][---] | L001:[000][---] | L002:[000][---]
119 : B000:[---][---][001][---][002][---][---][---] | L001:[000][002] | L002:[000][001]
120 : B000:[---][---][---][001][002][---][---][---] | L001:[000][---] | L002:[000][---]
121 : B000:[---][---][---][001][002][---][---][---] | L001:[002][000] | L002:[001][000]
122 : B000:[---][---][002][---][001][001][---][---] | L001:[000][000] | L002:[000][---]
123 : B000:[---][---][---][001][002][---][---][---] | L001:[000][---] | L002:[000][---]
124 : B000:[---][---][---][001][002][---][---][---] | L001:[002][000] | L002:[001][000]
125 : B000:[---][---][002][---][001][001][---][---] | L001:[000][000] | L002:[000][---]
126 : B000:[---][---][001][---][002][---][---][---] | L001:[000][---] | L002:[000][---]
127 : B000:[---][---][001][---][002][---][---][---] | L001:[000][002] | L002:[000][001]
128 : B000:[---][---][001][---][002][---][---][---] | L001:[000][---] | L002:[000][---]
129 : B000:[---][---][001][---][002][---][---][---] | L001:[000][002] | L002:[000][001]
130 : B000:[---][---][---][001][002][---][---][---] | L001:[000][---] | L002:[000][---]
131 : B000:[---][---][---][001][002][---][---][---] | L001:[002][000] | L002:[001][000]
132 : B000:[---][---][002][---][001][001][---][---] | L001:[000][000] | L002:[000][---]
133 : B000:[---][---][---][001][002][---][---][---] | L001:[000][---] | L002:[000][---]
134 : B000:[---][---][---][001][002][---][---][---] | L001:[002][000] | L002:[001][000]
135 : B000:[---][---][002][---][001][001][---][---] | L001:[000][000] | L002:[000][---]
136 : B000:[---][---][001][---][---][---][---][---] | L001:[000][002] | L002:[001][---]
137 : B000:[---][---][001][---][---][---][---][---] | L001:[000][002] | L002:[001][---]
138 : B000:[---][---][001][---][002][---][---][---] | L001:[000][---] | L002:[000][---]
139 : B000:[---][---][001][---][002][---][---][---] | L001:[000][002] | L002:[000][001]
140 : B000:[---][---][001][---][002][---][---][---] | L001:[000][---] | L002:[000][---]
141 : B000:[---][---][001][---][002][---][---][---] | L001:[000][002] | L002:[000][001]
142 : B000:[---][---][---][001][002][---][---][---] | L001:[000][---] | L002:[000][---]
143 : B000:[---][---][---][001][002][---][---][---] | L001:[002][000] | L002:[001][000]
144 : B000:[---][---][002][---][001][001][---][---] | L001:[000][000] | L002:[000][---]
145 : B000:[---][---][---][001][002][---][---][---] | L001:[000][---] | L002:[000][---]
